"Motif","TFs"
"MA0831.3","tfe3b"
"MA0692.1","tfeb"
"MA0871.2","tfec"
"MA0796.1","tgif1"
"MA0797.1","tgif2"
"MA0597.2","thap1"
"MA1573.2","thap11"
"MA1969.1","thrab"
"MA1969.1","thraa"
"MA1575.1","thrb"
"MA1576.1","thrb"
"MA1574.1","thrb"
"MA0119.1","tlx1"
"MA1577.1","tlx2"
"MA0106.3","tp53"
"MA0525.2","tp63"
"MA0861.1","tp73"
"MA1970.1","trps1"
"MA1123.2","twist1a"
"MA1123.2","twist1b"
"MA0633.2","twist2"
"MA0721.1","uncx"
"MA0093.3","usf1"
"MA0526.4","usf2"
"MA0722.1","vax1"
"MA0723.2","vax2"
"MA0693.3","vdra"
"MA0693.3","vdrb"
"MA0074.1","vdra"
"MA0074.1","vdrb"
"MA0724.1","vent"
"MA1578.1","vezf1a"
"MA1578.1","vezf1b"
"MA0725.1","vsx1"
"MA0726.1","vsx2"
"MA1627.1","wt1a"
"MA1627.1","wt1b"
"MA0844.1","xbp1"
"MA0095.3","yy1a"
"MA0095.3","yy1b"
"MA1649.1","zbtb12.1"
"MA1649.1","zbtb12.2"
"MA1650.1","zbtb14"
"MA0698.1","zbtb18"
"MA1579.1","zbtb26"
"MA1580.1","zbtb32"
"MA0527.1","zbtb33"
"MA0750.2","zbtb7a"
"MA0694.1","zbtb7b"
"MA0695.1","zbtb7c"
"MA0103.3","zeb1a"
"MA0103.3","zeb1b"
"MA2002.1","znf335"
"MA1628.1","zic1"
"MA0696.1","zic1"
"MA1629.1","zic2a"
"MA1629.1","zic2b"
"MA1628.1","zic2a"
"MA1628.1","zic2b"
"MA0697.2","zic3"
"MA0751.1","zic4"
"MA1584.1","zic5"
"MA0088.2","znf143a"
"MA0088.2","znf143b"
"MA1653.1","znf148"
"MA1630.2","znf281a"
"MA1630.2","znf281b"
"MA1655.1","znf341"
"MA1125.1","znf384b"
"MA1125.1","znf384a"
"MA0752.1","znf410"
"MA1982.1","znf574"
"MA1657.1","znf652"
"MA1986.1","znf692"
"MA0753.2","znf740a"
"MA0753.2","znf740b"
"MA1716.1","znf76"
